image_path,text,item_ID,product_id
images/51727804_0.jpg,green dress. the dress is made of a shiny material and has a boat neckline. it is a short dress with a straight cut and is worn by a woman.,51727804_0,51727804
images/54686996_0.jpg,"dress with a multicolored pattern. the dress has a strapless design and a flowy skirt. the pattern consists of a mix of blue, red, and white colors. the dress is a summer style and is suitable for a beach or a casual outing.",54686996_0,54686996
images/54946109_0.jpg,"white dress with lace detailing. the dress has a fitted bodice and a flared skirt. the lace detailing is scattered throughout the dress, adding a delicate touch to the overall design. the dress is a sleeveless style, making it a versatile option for various occasions.",54946109_0,54946109
images/55570793_0.jpg,blue and white dress with a halter neckline and a zipper closure on the back. the dress has a floral print and is made of a lightweight material. the dress is a strapless style and is suitable for a summer or spring occasion.,55570793_0,55570793
images/55621612_0.jpg,"dress. the dress is black and white in color and has a flowing design. it is made of a lightweight material, possibly chiffon, and has a printed pattern on it. the dress is worn by a woman who is standing in front of a white background.",55621612_0,55621612
images/56037632_0.jpg,black dress. the dress is made of a stretchy material and has a boat neckline. the dress is sleeveless and has a slit on the side. the dress is a midi length and is worn by a woman.,56037632_0,56037632
images/57996836_0.jpg,"sequined top with a tank top underneath. the top is made of a shiny material and has a gold and pink color scheme. the sequins are small and scattered all over the top, creating a glittery effect. the tank top underneath is a solid color, possibly white or a light color.",57996836_0,57996836
images/58019580_0.jpg,"black and white wrap dress with a leopard print pattern. the dress has a wrap-around design and features a v-neckline. the dress is made of a stretchy material and has long sleeves. the leopard print pattern is a mix of black, white, and gray colors.",58019580_0,58019580
images/58648388_0.jpg,blue and red floral print fabric.,58648388_0,58648388
images/58702369_1.jpg,striped shirt with a white and black color scheme. the shirt has a loose fit and features a collar. the stripes on the shirt are of different widths and are arranged in a somewhat random pattern.,58702369_1,58702369
images/58739820_0.jpg,blue and white dress with a floral print. the dress has a wrap style and features a v-neckline. the sleeveless design and the wrap style make it a versatile piece that can be worn for various occasions. the floral print adds a touch of elegance and sophistication to the dress.,58739820_0,58739820
images/59904808_0.jpg,"blue and white dress with a floral print. the dress has a v-neckline and a flowy skirt. the dress is made of a lightweight material, possibly chiffon or silk. the dress is a summer style and is suitable for a casual or semi-formal occasion.",59904808_0,59904808
images/59919014_0.jpg,blue dress with a v-neckline and a zipper closure on the back. the dress is made of a stretchy material and has a fitted shape. the dress is a navy blue color and is worn by a woman.,59919014_0,59919014
images/60104736_11.jpg,"black shirt with white letters on it. the shirt has a short sleeve design and is made of a material that appears to be a blend of cotton and polyester. the shirt features a white collar and a front pocket. the white letters on the shirt spell out ""ade in italia"" in a bold, modern font.",60104736_11,60104736
images/61100873_0.jpg,red shirt.,61100873_0,61100873
images/61294113_0.jpg,"blue dress with a one shoulder design. the dress has a fitted bodice and a flared skirt. the material appears to be a stretchy fabric, possibly a knit. the dress is styled in a fashionable manner, suitable for a night out or a special occasion.",61294113_0,61294113
images/62560869_0.jpg,"pink dress. the dress is made of a shiny material and has a fitted bodice with a zipper in the back. the dress also has short sleeves and a long, flowing skirt.",62560869_0,62560869
images/62629380_0.jpg,"tie-dye dress with a long sleeve and a high-low hemline. the dress is made of a soft, knit material and has a purple and blue color scheme. the dress is styled in a bohemian fashion and is suitable for casual wear.",62629380_0,62629380
images/62755376_0.jpg,blue dress with a black collar. the dress has a boat neckline and a sleeveless design. the dress is made of a shiny material and has a fitted silhouette.,62755376_0,62755376
images/62788605_0.jpg,black and white dress with a floral print. the dress has a black and white color scheme with a black and white floral print. the dress is a fitted style with a black and white color scheme. the dress has a black and white floral print and is a fitted style. the dress is a black and white color scheme with a black and white floral print.,62788605_0,62788605
images/62843428_0.jpg,black and white striped dress with a black belt. the dress has a v-neck and is knee-length. the stripes are vertical and the dress is made of a shiny material.,62843428_0,62843428
images/62956962_0.jpg,the image shows a denim dress with a buttoned-up front and a tie belt at the waist. the dress has a square neckline and a back zipper closure. the denim is a light blue color and the dress has a fitted silhouette.,62956962_0,62956962
images/63415103_0.jpg,blue dress with a collar. the dress has a front button and a long sleeve. the dress is made of a material that is not specified. the dress is a size 14 and is a long sleeve style.,63415103_0,63415103
images/63439959_0.jpg,white off-the-shoulder dress with a ruffled neckline and a small slit on the side. the dress is worn by a woman who is holding a white purse.,63439959_0,63439959
images/63673692_0.jpg,camouflage print t-shirt with a brown camouflage print on it. the t-shirt is short-sleeved and has a round neckline. the t-shirt is made of a soft material and is available in a variety of colors.,63673692_0,63673692
images/63674236_0.jpg,red dress. the dress is sleeveless and has a v-neckline. the dress is made of a stretchy material and has a fitted style.,63674236_0,63674236
images/63750831_0.jpg,"black and white dress with a zigzag pattern. the dress has a v-neckline and a sleeveless design. the zigzag pattern is black and white, and the dress is made of a stretchy material.",63750831_0,63750831
images/63809253_0.jpg,white dress.,63809253_0,63809253
images/63862712_0.jpg,red and black dress. the dress has a plaid pattern and is made of a material that appears to be cotton. the dress is a loose fit and has a button-down collar. the dress is worn by a woman who is standing and appears to be in a room with a white wall.,63862712_0,63862712
images/63882776_0.jpg,green and brown dress with a unique print.,63882776_0,63882776
